編號類別,分類編號,檢查分類,分類名,原文內容,阻擋
E,E0001,syntax-error,invalid syntax (&lt;unknown&gt;, line 460),Y
E,E1701,Async checker(非同步檢查),not-async-context-manager (E1701),Async context manager '%s' doesn't implement __aenter__ and __aexit__. Used when an async context manager is used with an object that does not implement the async context management protocol. This message can't be emitted when using Python < 3.5.,Y
E,E1700,Async checker(非同步檢查),yield-inside-async-function (E1700),Yield inside async function Used when an yield or yield from statement is found inside an async function. This message can't be emitted when using Python < 3.5.,Y
E,E0103,Basic checker(基本檢查),not-in-loop (E0103),%r not properly in loop Used when break or continue keywords are used outside a loop.,Y
E,E0102,Basic checker(基本檢查),function-redefined (E0102),%s already defined line %s Used when a function / class / method is redefined.,Y
E,E0116,Basic checker(基本檢查),continue-in-finally (E0116),"'continue' not supported inside 'finally' clause Emitted when the continue keyword is found inside a finally clause, which is a SyntaxError.",Y
E,E0110,Basic checker(基本檢查),abstract-class-instantiated (E0110),Abstract class %r with abstract methods instantiated Used when an abstract class with abc.ABCMeta as metaclass has abstract methods and is instantiated.,Y
E,E0114,Basic checker(基本檢查),star-needs-assignment-target (E0114),Can use starred expression only in assignment target Emitted when a star expression is not used in an assignment target.,Y
E,E0108,Basic checker(基本檢查),duplicate-argument-name (E0108),Duplicate argument name %s in function definition Duplicate argument names in function definitions are syntax errors.,Y
E,E0101,Basic checker(基本檢查),return-in-init (E0101),Explicit return in __init__ Used when the special class method __init__ has an explicit return value.,Y
E,E0112,Basic checker(基本檢查),too-many-star-expressions (E0112),More than one starred expression in assignment Emitted when there are more than one starred expressions (*x) in an assignment. This is a SyntaxError.,Y
E,E0115,Basic checker(基本檢查),nonlocal-and-global (E0115),Name %r is nonlocal and global Emitted when a name is both nonlocal and global.,Y
E,E0118,Basic checker(基本檢查),used-prior-global-declaration (E0118),"Name %r is used prior to global declaration Emitted when a name is used prior a global declaration, which results in an error since Python 3.6. This message can't be emitted when using Python < 3.6.",Y
E,E0104,Basic checker(基本檢查),return-outside-function (E0104),"Return outside function Used when a ""return"" statement is found outside a function or method.",Y
E,E0106,Basic checker(基本檢查),return-arg-in-generator (E0106),"Return with argument inside generator Used when a ""return"" statement with an argument is found outside in a generator function or method (e.g. with some ""yield"" statements). This message can't be emitted when using Python >= 3.3.",Y
